City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
67,Bahia Blanca,AR,-38.7196,-62.2724,69.44,43,0,13.67,2021-10-21 00:43:46
68,Saint George,US,37.1041,-113.5841,70.39,26,1,3.0,2021-10-21 00:46:37
69,Bredasdorp,ZA,-34.5322,20.0403,60.28,98,100,3.67,2021-10-21 00:46:37
70,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,40,6.91,2021-10-21 00:42:23
71,Troitskoye,RU,52.9821,84.6757,40.42,55,97,7.92,2021-10-21 00:46:38
72,Raudeberg,NO,61.9875,5.1352,41.86,93,100,1.99,2021-10-21 00:44:25
73,Arraial Do Cabo,BR,-22.9661,-42.0278,62.56,100,75,3.44,2021-10-21 00:46:40
74,Codrington,AU,-38.2667,141.9667,68.7,62,97,14.43,2021-10-21 00:46:40
75,Nikolskoye,RU,59.7035,30.7861,54.01,93,100,11.77,2021-10-21 00:46:41
76,Atuona,PF,-9.8,-139.0333,77.13,81,10,14.72,2021-10-21 00:46:41
77,Havelock,US,34.8791,-76.9013,71.94,83,0,4.21,2021-10-21 00:46:42
78,Olafsvik,IS,64.8945,-23.7142,43.27,77,61,23.55,2021-10-21 00:46:42
79,Saldanha,ZA,-33.0117,17.9442,59.05,88,97,19.22,2021-10-21 00:46:43
80,Sitka,US,57.0531,-135.33,48.09,81,90,19.57,2021-10-21 00:46:43
81,Agadir,MA,30.4202,-9.5982,64.85,40,84,2.13,2021-10-21 00:46:43
82,Khandagayty,RU,50.7333,92.05,30.43,70,8,4.9,2021-10-21 00:46:44
83,Erin,US,36.3184,-87.6947,68.27,87,77,6.13,2021-10-21 00:42:11
84,Narsaq,GL,60.9167,-46.05,30.42,36,0,5.86,2021-10-21 00:46:44
85,Saint-Joseph,RE,-21.3667,55.6167,71.96,72,20,8.19,2021-10-21 00:46:45
86,Lobito,AO,-12.3481,13.5456,74.35,84,100,6.73,2021-10-21 00:46:45
87,Ust-Kuyga,RU,70.0167,135.6,10.42,95,100,5.3,2021-10-21 00:46:46
88,Wanxian,CN,30.8039,108.3897,56.89,79,100,4.56,2021-10-21 00:46:46
89,Monrovia,LR,6.3005,-10.7969,77.92,86,100,6.62,2021-10-21 00:46:24
90,San Cristobal,VE,7.7669,-72.225,71.78,91,52,1.97,2021-10-21 00:46:47
91,Dingle,PH,10.9995,122.6711,83.3,80,89,6.67,2021-10-21 00:46:47
92,Albany,US,42.6001,-73.9662,64.98,65,37,4.72,2021-10-21 00:46:48
93,Srednekolymsk,RU,67.45,153.6833,1.26,86,48,2.44,2021-10-21 00:46:48
94,Buala,SB,-8.145,159.5921,86.32,66,56,5.57,2021-10-21 00:46:49
95,Sokoni,TZ,-6.4333,39.55,76.73,79,65,8.84,2021-10-21 00:46:49
96,Diffa,NE,13.3154,12.6113,85.35,46,100,11.52,2021-10-21 00:46:33
97,Biograd Na Moru,HR,43.9433,15.4519,59.76,81,100,10.8,2021-10-21 00:46:50
98,Tiksi,RU,71.6872,128.8694,11.62,94,100,5.84,2021-10-21 00:46:50
99,Talnakh,RU,69.4865,88.3972,23.23,95,99,10.09,2021-10-21 00:46:51
100,Tasiilaq,GL,65.6145,-37.6368,50.16,43,81,10.65,2021-10-21 00:46:51
101,Hobart,AU,-42.8794,147.3294,69.06,52,75,4.0,2021-10-21 00:46:52
102,Gizo,SB,-8.103,156.8419,83.55,73,99,3.15,2021-10-21 00:46:53
103,Severo-Kurilsk,RU,50.6789,156.125,37.18,61,79,21.21,2021-10-21 00:46:53
104,Barry,GB,51.4067,-3.2694,52.48,88,63,18.41,2021-10-21 00:46:54
105,Denpasar,ID,-8.65,115.2167,83.86,83,40,4.61,2021-10-21 00:42:42
106,Vyshhorod,UA,50.5848,30.4898,54.1,66,100,14.43,2021-10-21 00:46:54
107,Chokurdakh,RU,70.6333,147.9167,-13.54,95,88,3.09,2021-10-21 00:46:55
108,Oistins,BB,13.0667,-59.5333,82.49,78,40,19.57,2021-10-21 00:46:55
109,Prestea,GH,5.4327,-2.1428,73.74,98,100,2.17,2021-10-21 00:46:56
110,Sur,OM,22.5667,59.5289,77.54,69,80,10.16,2021-10-21 00:46:56
111,Havoysund,NO,70.9963,24.6622,29.28,64,100,29.82,2021-10-21 00:46:57
112,Castro,BR,-24.7911,-50.0119,51.13,94,15,9.19,2021-10-21 00:46:58
113,Tome,CL,-36.6167,-72.95,54.21,91,100,4.92,2021-10-21 00:46:58
114,Barrow,US,71.2906,-156.7887,28.42,86,90,21.85,2021-10-21 00:46:59
115,Rocha,UY,-34.4833,-54.3333,50.85,91,0,6.64,2021-10-21 00:46:59
116,Hasaki,JP,35.7333,140.8333,63.28,53,100,13.0,2021-10-21 00:47:00
117,Gamba,GA,-2.65,10.0,75.58,87,100,3.76,2021-10-21 00:47:00
118,Vila Velha,BR,-20.3297,-40.2925,66.15,82,75,9.22,2021-10-21 00:47:02
119,Puerto Ayora,EC,-0.7393,-90.3518,69.73,88,100,8.37,2021-10-21 00:47:03
120,Mantua,IT,45.1667,10.7833,60.28,92,100,5.99,2021-10-21 00:47:03
121,Matay,EG,28.419,30.7792,66.16,68,53,12.77,2021-10-21 00:47:04
122,Birjand,IR,32.8663,59.2211,48.67,13,0,6.91,2021-10-21 00:47:05
123,Derzhavinsk,KZ,51.1,66.3167,40.95,74,100,17.67,2021-10-21 00:47:05
124,Kodiak,US,57.79,-152.4072,44.11,81,90,12.66,2021-10-21 00:47:06
125,Yellowknife,CA,62.456,-114.3525,41.56,80,20,11.5,2021-10-21 00:42:18
126,Port Lincoln,AU,-34.7333,135.8667,66.51,57,5,11.7,2021-10-21 00:45:02
127,Garden City,US,42.3256,-83.331,65.59,67,75,8.05,2021-10-21 00:47:07
128,Rabat,MA,33.9911,-6.8401,68.04,97,40,0.0,2021-10-21 00:42:12
129,Vao,NC,-22.6667,167.4833,70.74,93,100,16.11,2021-10-21 00:47:07
130,Lahat,ID,-3.8,103.5333,77.85,89,43,0.74,2021-10-21 00:47:08
131,Vardo,NO,70.3705,31.1107,33.76,80,100,24.99,2021-10-21 00:47:08
132,Boyolangu,ID,-8.1181,111.8935,82.85,70,100,5.88,2021-10-21 00:47:09
133,Souillac,MU,-20.5167,57.5167,71.98,88,40,6.91,2021-10-21 00:47:09
134,Luderitz,NA,-26.6481,15.1594,55.96,82,37,10.56,2021-10-21 00:47:09
135,Faanui,PF,-16.4833,-151.75,79.34,78,0,8.88,2021-10-21 00:47:10
136,Egvekinot,RU,66.3167,-179.1667,22.46,88,100,5.59,2021-10-21 00:47:10
137,Adrar,MR,20.5022,-10.0711,74.79,23,4,11.27,2021-10-21 00:47:11
138,Villanueva De La Serena,ES,38.9766,-5.7974,62.83,81,0,5.23,2021-10-21 00:47:11
139,Kavieng,PG,-2.5744,150.7967,83.35,73,85,5.97,2021-10-21 00:47:12
140,Amazar,RU,53.858,120.875,34.9,58,71,2.1,2021-10-21 00:47:12
141,Oranjemund,NA,-28.55,16.4333,57.06,85,0,6.08,2021-10-21 00:47:13
142,Lompoc,US,34.6391,-120.4579,69.01,72,1,13.8,2021-10-21 00:47:13
143,Warrington,GB,53.3925,-2.5802,49.15,89,74,1.99,2021-10-21 00:44:58
144,Asau,RO,46.4333,26.4,43.72,72,6,7.61,2021-10-21 00:47:14
145,Minbu,MM,20.1833,94.8833,77.45,88,95,8.59,2021-10-21 00:47:14
146,Pangody,RU,65.85,74.4859,30.56,86,100,3.62,2021-10-21 00:47:15
147,Kampong Chhnang,KH,12.1667,104.55,77.85,86,100,1.54,2021-10-21 00:47:16
148,Pombas,CV,17.1503,-25.0201,74.98,73,0,9.22,2021-10-21 00:47:16
149,Lixourion,GR,38.2019,20.4314,64.0,68,0,4.54,2021-10-21 00:47:17
150,Victoria,HK,22.2855,114.1577,82.45,82,100,1.01,2021-10-21 00:43:22
151,Goure,NE,13.9835,10.2704,85.01,19,5,4.23,2021-10-21 00:47:17
152,Ust-Nera,RU,64.5667,143.2,7.93,87,89,2.51,2021-10-21 00:47:18
153,Sao Filipe,CV,14.8961,-24.4956,82.42,57,0,7.49,2021-10-21 00:43:14
154,Genoa,IT,44.4129,8.9573,66.65,85,75,1.99,2021-10-21 00:47:19
155,Nokaneng,BW,-19.6667,22.2667,74.44,36,90,8.81,2021-10-21 00:47:19
156,San Jose Del Guaviare,CO,2.5729,-72.6459,72.77,97,98,2.28,2021-10-21 00:47:20
157,Upernavik,GL,72.7868,-56.1549,32.72,99,100,5.41,2021-10-21 00:47:20
158,Saint-Philippe,RE,-21.3585,55.7679,72.95,76,38,9.98,2021-10-21 00:47:20
159,Santarem,BR,-2.4431,-54.7083,78.93,94,20,3.44,2021-10-21 00:45:26
160,Mwinilunga,ZM,-11.7358,24.4293,66.99,69,86,3.13,2021-10-21 00:47:21
161,Antofagasta,CL,-23.65,-70.4,58.28,77,40,6.35,2021-10-21 00:44:05
162,Dire Dawa,ET,9.5931,41.8661,66.63,27,67,4.32,2021-10-21 00:47:22
163,Hatfield,GB,51.7634,-0.2242,49.24,94,75,16.11,2021-10-21 00:47:22
164,Iquique,CL,-20.2208,-70.1431,59.04,71,11,4.88,2021-10-21 00:44:53
165,Hegang,CN,47.4,130.3667,39.96,44,6,4.99,2021-10-21 00:47:23
166,Tilichiki,RU,60.4667,166.1,13.41,77,100,6.53,2021-10-21 00:47:23
167,Saryg-Sep,RU,51.5,95.6,29.95,57,0,3.33,2021-10-21 00:47:24
168,Naryan-Mar,RU,67.6713,53.087,28.87,75,100,8.61,2021-10-21 00:47:24
169,Mouzouras,GR,35.5333,24.15,61.43,77,20,0.0,2021-10-21 00:47:25
