City_ID,City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
125,510,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
126,518,Manicore,BR,80.58,-5.8092,-61.3003,Hotel Durval
127,519,Kapoeta,SS,81.36,4.7717,33.5903,Eastgate Hotel
128,521,Puerto Rondon,CO,78.19,6.2805,-71.1,Urbanización Santa Clara
129,523,Akyab,MM,80.55,20.15,92.9,Hotel Memory
130,525,Sao Geraldo Do Araguaia,BR,80.62,-6.4006,-48.555,Hotel Por do Sol
131,526,Kieta,PG,85.93,-6.2167,155.6333,Uruna Bay Retreat
132,527,Biloela,AU,82.04,-24.4167,150.5,Biloela Silo Motor Inn
133,531,Pontes E Lacerda,BR,77.61,-15.2261,-59.3353,Hotel Bressan
134,532,Makakilo City,US,86.32,21.3469,-158.0858,Marriott's Ko Olina Beach Club
135,535,Wewak,PG,78.96,-3.5534,143.6268,In Wewak Boutique Hotel
136,544,Port Moresby,PG,87.22,-9.4431,147.1797,Lamana Hotel (Port Moresby)
137,546,Port Blair,IN,81.39,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
138,556,Kloulklubed,PW,82.08,7.0419,134.2556,Storyboard Beach Resort
139,558,Itoman,JP,75.97,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
140,563,Salinopolis,BR,79.97,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
141,568,Orange,US,77.34,33.7,-117.7675,Meadows
142,573,Sao Jose Da Coroa Grande,BR,76.93,-8.8978,-35.1478,Crôa Mares Hotel
143,574,Bonthe,SL,78.42,7.5264,-12.505,Bonthe Holiday Village
144,578,Corozal,CO,75.58,9.3151,-75.2928,Hotel Perla De La Sabana
145,585,Orodara,BF,75.58,10.9492,-4.9342,Bkf Orodara
147,589,Bac Lieu,VN,78.01,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
148,591,West Bay,KY,84.27,19.3667,-81.4167,Calypso Cove
149,602,Ambon,ID,86.14,-3.6954,128.1814,Swiss-Belhotel Ambon
150,609,Cockburn Town,TC,82.31,21.4612,-71.1419,Osprey Beach Hotel
151,610,Blythe,US,80.04,33.6103,-114.5964,Rodeway Inn & Suites
152,611,Pakxan,LA,79.77,18.3778,103.6601,Kong Kham Pheng Guesthouse
153,612,Keningau,MY,77.45,5.3378,116.1602,Sabindo Hotel
154,622,Kousseri,CM,78.76,12.0769,15.0306,Le Pilotis
155,628,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
156,631,Domoni,KM,75.15,-12.2569,44.5319,Al Djadid
157,635,Alyangula,AU,87.67,-13.8483,136.4192,Groote Eylandt Lodge
158,641,Vanimo,PG,77.95,-2.6741,141.3028,Vahmoneh Lodge Vanimo
159,643,Pecos,US,86.83,31.4229,-103.4932,Knights Inn & Suites Pecos
160,647,Doha,QA,84.18,25.2867,51.5333,Movenpick Hotel Doha
161,662,Lazaro Cardenas,MX,80.76,17.9583,-102.2,quinta antigua
162,663,Sorong,ID,81.05,-0.8833,131.25,waigo splash hotel
163,667,Lorengau,PG,84.36,-2.0226,147.2712,Lorengau Harbourside Hotel
165,670,Soe,ID,82.83,-9.8607,124.284,Dena Hotel
166,677,Baillif,GP,78.3,16.0202,-61.7463,Hôtel Saint-Georges
167,682,Ouahigouya,BF,84.52,13.5828,-2.4216,Hotel Liberte
