City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
294,Abonnema,NG,76.32,4.7084,6.7931,Corper's Lodge Obonoma
295,Gasan,PH,82.11,13.3237,121.8467,Golden SunSet Resort
296,Karratha,AU,80.6,-20.7377,116.8463,ibis Styles Karratha
297,Cayenne,GF,83.08,4.9333,-52.3333,Hôtel Le Dronmi
313,San Ignacio,BZ,80.74,17.1561,-89.0714,Rainforest Haven Inn
316,Kalmunai,LK,79.38,7.4167,81.8167,VS Villa
318,Kupang,ID,86.58,-10.1667,123.5833,Hotel On The Rock by Prasanthi
321,Sisophon,KH,77.86,13.5859,102.9737,Pyramid Hotel
322,Roebourne,AU,80.64,-20.7833,117.1333,Latitude20 Roebourne Village
323,Bairiki,KI,87.8,1.3292,172.9752,Tarawa Boutique Hotel
324,Namatanai,PG,84.69,-3.6667,152.4333,Seagulls Inn Namatani
330,Miri,MY,77.14,4.4148,114.0089,"Mega Hotel, Miri"
334,Puerto Ayacucho,VE,75.06,5.6639,-67.6236,Posada Turistica Manapiare
339,Sola,VU,86.67,-13.8833,167.55,Leumerus Bungalows
353,Safford,US,83.32,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
357,Dhidhdhoo,MV,81.77,6.8833,73.1,Dhidhoo beach
361,Ladario,BR,79.79,-19.0047,-57.6017,Hotel Fazenda 4 cantos
362,Kidal,ML,79.72,18.4411,1.4078,
365,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
369,Tabuk,PH,79.93,17.4189,121.4443,Golden Berries Hotel and Convention
373,Bartica,GY,79.12,6.4,-58.6167,Sloth Island Nature Resort
377,Ipixuna,BR,80.55,-1.7625,-48.8043,Casa da Oscarina
380,Touros,BR,81.5,-5.1989,-35.4608,INN NEW HORIZON
381,Ayorou,NE,88.32,14.7308,0.9174,Hotel Amenokal
383,Nioro,GM,75.16,13.35,-15.75,
389,Saint-Georges,GD,78.48,12.0564,-61.7485,Radisson Grenada Beach Resort
393,Atambua,ID,86.63,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
395,Port-Gentil,GA,77.56,-0.7193,8.7815,Fengshui Residence
401,Axim,GH,77.74,4.8699,-2.2405,Axim Beach Resort And Spa
403,Timbiqui,CO,75.09,2.7717,-77.6654,hotel diana
405,Natal,BR,81.25,-5.795,-35.2094,Villa Park Hotel | Natal
407,San Juan,AR,76.98,-31.5375,-68.5364,Hotel Provincial
408,Adeje,ES,77.49,28.1227,-16.726,Gran Tacande Wellness & Relax
417,Filingue,NE,88.21,14.3521,3.3168,
424,Niamey,NE,88.09,13.5137,2.1098,Soluxe Hotel Niamey
433,Baracoa,CU,78.8,20.3467,-74.4958,Hostal Rio Miel
